comment,classification
Spoon right and das finger at the glass of beer,0
Letter on foodball,0
Skin under the eye,6
Hair on legs,"3,9"
Unrealistic scene,7
"The light on the faces is too ""good""",4
Fingernails,6
Typical problems with fingers.,"3,9"
"Rabbit's shape borders are pixelated, the man's borders not. ","1,5"
"People are not typical AI stereotypes. 
The text on the certificate is not gibberish snd sign salad but makes actual sense. ",8
"Oh boy, look at his fingers. 

","6,9"
Fingers are all wrong,"3,6"
Those fingers are strange.,3
Her left arm is missing.,"3,9"
The tumb looks odd,0
He is wearing a clock or bracelet on both arms.,8
Racket,0
Strange shadows on womans face.,4
Fingers and ears horror,"3,6"
Nose ring,6
Those guys look like clones.,7
The woman has a zombie face.,"2,7"
The ear plugs dont match.,6
The weights look too heavy for the (not) visible muscle activity. The blends in the top right corner look physically nonsensical. The fitness machines in the background look weird (like a hybrid between treadmill and cyclingtrainer) and are not uniform despite having the same appearance. The middle column looks weird. There's a lot of little things that seem off.,"3,4,9"
Looks too sterdotypical.,0
People in the background seem to have incomplete limbs. Iris of left eye looks somewhat strange. ,"3,6"
Strange proportions.,"2,6"
They look like sisters.,0
The kids hat looks funny. The zipper of the man on the left seems at least damaged. The left eye of the man seems to be wrinkly with a dark spot in the middle and his glasses seem to be melted onto his head. The kids position looks funny.,"2,3,6"
They pose strangely.,7
Strange mouth.,"2,6"
Very strange eyes on both females.,"2,6"
The left hand of the lady in the yellow top seems weird and weirdly connected to her body. Only one of her fingernails has nail polish on it.,"3,6"
Weird pocket,"3,9"
Wrong pupils,6
The dads look 2 dimensional.,7
That's not a gun. Wrong number of fingers. Patches on uniform don't make sense,"3,8"
The hand and background looked weird,"3,4"
Hand position physically impossible. More than one weight pin in the weights.,"3,9"
Wrong shadows.,4
Hands physically impossible,"3,9"
Breast,3
Lines on the ground in bottom left seem weird,"4,9"
Looks like a megaton of makeup.,5
"Hugging hand of the man has wrong number of fingers, seems deformed","3,6"
Asymmetric teeth and weird fingers,"3,6"
These hands will give me nightmares,"3,6"
He's grabbing the broom weird,"3,6"
Hand massively overstretched and too long,"3,9"
Eyes?,"2,6"
Der Daumen des Mannes ,6
floating weight,9
Cut in background ,4
Die weißen Linien im hemdmuster,0
Die finger,6
Reflektion der augen,0
One side is darker than the other,4
strange hands,"3,6"
There's a shadow in the pictures,4
Because there's no definition in her throat,"3,6"
The ear looks wrong.,6
strange hand,"3,6"
"Skin too smooth, fake smile",5
"Look at those strings...

The drum construction is also non-sensical.","3,9"
Right arm is indented,3
Gettyimages,0
The image didn't load fast enough.,0
The face is too sharp/clear,"1,5"
Details,0
Had that typical AI-generated look,7
Fingers and eyes,"3,6"
Hand size disproportionate. ,3
Strange writing on the wall,8
"1 sec is not enough for checking this. 
General appearnce lets me guess: AI",0
"Doubt on te teeth, but no clear indication of fakery, so I guess real. ",0
"Bad ear, bad bench","6,8"
Fingers more than 5 on right hand,"3,9"
Tree canopy texture. Sausage fingers,"3,9"
its the faces,"2,6"
the eyes and the hands,"2,3"
"not making eye contact, hands","2,6"
"Ear, watch","6,10"
the eyes look doughy,"2,6"
weird depth of field,4
Linke Hand,6
Linke Hand,6
Stirn des Mannes,0
Hände und Finger,6
Rechtes Ohr,6
3 legs,3
"tilted door frame, speed blur of sticker on cupboard, something black lying on a nonexisting cupboard, the nurse wears bandages","1,4,9"
The image took longer than 1 second to load so I could see only half of it before it disappeared. This test does not work on German net infrastructure.,0
left hand finger count; nonsense shoulder flag,"3,9"
Boy on the right: arms too hairy,6
Unreadable name badge,0
Boring lighting,4
overall „aesthetics“?,0
triangular pupils,6
finger count; garbledb text,9
stair plates,0
"Not a likely tatoo, half a black ring? on left hand","6,8"
studio lighting does not fit situation,4
malformed feet,3
car details; traffic lights pointing nowhere,0
Some day these generators will handle text correctly. Not today.,0
Hands from the old man look weird,"3,6"
Feet are weirdly shaped,3
empty expression,7
image didnt load,0
shadow wrong direction,4
coffee cup details; hat,0
Textures look too smooth,5
button details,0
Wrinkles in clothing look weird,"1,5"
fingers/glasses,"3,6"
stair details,0
hats,0
The contours are too soft.,"1,5"
fingers on cup,"3,9"
"rechte Hand, person oben links, geländer","6,8"
bracelet,0
finger und ohren,6
linke hand hat nur 4 finger,"6,9"
The contours are too soft.,"1,5"
The contours are too soft. It is too perfect.,5
The colours are too perfect,5
finger und schuhe,0
The situation makes me think that it is a fake.,0
🤷🏻‍♀️,0
shoelaces,0
print on shirt,"5,8"
der kopf sitzt nicht richtig auf der schulter,"2,6"
Schärfentiefe,0
salad,0
hände und finger,6
hände und gesicht,"2,6"
Hintergrund,0
Hände ,6
You can see artefacts of the old background around the people‘s silhouettes.,4
this image could not be displayed,0
The ramp and rail on the left look fake.,"1,4"
There is some weird stuff happening in the background left of the vehicle. The rest looks pretty real.,"4,8"
Can’t detect any signs for a fake,0
"Shadow is weird, the right hand looks wrong. Fire- and background don’t match in and look stitched together.","4,3"
Looks like the face was merged in. Skin tones don’t match.,"2,5"
The fingers!,"3,6"
hände,6
hände,6
schiefe häuser,0
Edges wrong,0
"hände, finger, muster vom hemd","6,9"
unnatürliche hände,"6,9"
es fehlt ein finger,3
zu schön,0
"The image was only loaded partially while displayed.

You should definitely improve the test to only allow displaying once the image is fully loaded. And please use a CDN to distribute the images. It seems like your servers are overloaded.",0
gesicht,6
unnatürliche linke hand,"6,9"
hände,6
Nonsensical text on cup. Wrong finger position of children.,0
Wrong orientation of lamp shadow,4
Hintergrund,0
🤷🏻‍♀️,0
The street ist different on the left an right side and on the left side the stones are different and odd sizes. Plus the wonam ist too beautiful.,8
Schärfentiefe,0
The woman on the left has three fingers. The hand of the other woman ist part of the glass or something. Plus they all look in different direction in a strange way.,"3,6"
🤷🏻‍♀️,0
Zähne,6
Hintergrund ,0
The hand looked wrong,"3,9"
"Beine, Badeanzug links","6,8"
Hands again.,6
Beine zu behaart,6
Somethings wron with the faces an the backround is too shiny.,"2,4"
"Buch, hände","6,9"
Hande,0
Weird shapes,"3,6"
The left an the right side of the backround are not fitting together and the face is too smooth,"4,5"
Beine mitte,6
Schärfentiefe ,0
"She has pizza in her hand, but there is no piece missing. And why is there a third pizza in a date situation?","3,8"
Körper irgendwie zu breit,6
Something about the scarf and the teeth.,"2,6"
"The brand name, the skin's texture feels off",6
🤷🏻‍♀️,0
"Text on girl's T-shirt looks weird, her earrings as well.",5
Zu scharf,0
"Beine zu haarig, hände","6,9"
Something was off.,0
"Hände, zu scharf",6
"The picture has some imperfections (teeth), but nothing really suspicious in there. Light comes from front left direction, which can both be observed in the face and on the arm.","2,4"
🤷🏻‍♀️,0
Theeth and the woman ist looking to the left one child to the right in an odd way. And the jacket of the middle child-,"2,7"
"Zu gleichmäßig, zu scharf",5
"Woman's hand rests on the man's shoulder, which looks very convincing. Not sure if a contemporary AI could generate that kind of context.","6,8"
The glasses at the left person,"1,6"
"People in Russia have nothing to smile about. Dark jokes aside, the toddler's fingers look weird.","3,9"
Tattoo,0
"Probably edited, but no AI. Skin and wrinkles (especially on hands) look very natural, which AI typically doesn't achieve that well.","5,10"
Schärfentiefe ,0
Zu scharf,0
Cables on the bed look weird ,0
Zu scharf,0
"Fingers look convincing, text on wrinkled shirt too.",0
Woman has 5 fingers and one thumb,"6,9"
🤷🏻‍♀️,0
Hand anatomy looks odd,"3,6"
Necklace looking weird ,6
Haut,0
Everything looked rather convincing,0
None of the typical AI artifacts,0
"Hals, Tuch, helm",0
"eyes, fingers","6,9"
Schärfentiefe ,0
those hands are huge,3
Schärfentiefe ,0
"Real, but cringe",0
Fingers look weird,"3,6"
Hund,0
Fingers look weird,3
"Creepy fingers, plants look odd","3,4"
"Schärfe, zähne","1,6"
"while those kinda face deformations exist, they're kinda rare",7
Logo and writings on shirt look weird,5
"Camo, bunny eyes, sleeve looking off",0
Rings on right woman's hands are too low,"6,9"
Gesichter schârfe,0
"Face, blue jacket",0
Hands and pizza looking off,"3,9"
Cars look weird,0
Devices in background,8
"she's kinda smal, minor face deformations, the table is a mess","2,3"
Zu scharf,0
"strange walk, strange background",0
"nobody using two monitors would position them like that, this makes my back hurt just looking at it. And I'd use a keyboard that's in front of me, with keys not melted together with a hot air gun.",8
Image did not show completely ,0
"hey, that're the Gilmore Girls",0
"Fuss, bein",0
Gesichter,0
"to shiny, the person was too distinct from the backround","4,8"
Zu scharf,0
He is falling of the stairs in a few seconds. A real person woudn't be chill. Plus too shiny,"3,9"
Something about the way they are not looking at each other,7
The light was all wrong and he war wearing unreal glasses.,"4,5"
Different earrings I think,6
Hands I think,6
Hair on the left side. Plus the fact that she is apparentlyy sitting on the middle of a park way?,"8,9"
Focus is off + keyboard.,"1,10"
Obamas hands.,6
Eyes are too big and shiny.,"2,6"
Faces look like a racist caricature.,7
Teeth in the back look off,3
"Whatever Obama is eating, it is not on his plate. And the hand in the foreground.","8,9"
Third leg,3
the weights. An the fact that a very pregnant woman ist lifting so much an looking happy about it.,"3,9"
Nametag on jacket looks off,1
The shirt of the child,0
I think the resolution is to high for the time this picture shows. ,"1,4"
Hairy legs for a boy his age.,"3,6"
"pizza piece
",0
"too beautiful, too big eyes, looks like a male fantasy.",7
leg of dog is missing,"3,9"
text in the middle of the book is no text and why does it have two covers with different titles?,8
Boy has hairy Arms,"3,6"
too pregnatn to be happy about lifting,"3,9"
"Eyes, Fingers","6,9"
the guys glasses are molten into his face,"3,9"
arms too long,"3,9"
eye brow,6
The hair on his forehead doesn’t look right ,"2,6"
The second sunglasses pinned to her breasts and the hand on the shoulder of the man,"6,8"
Beine,6
The mirror image looks wrong (holds tool in wrong hand),7
The number plate looks wrong,0
His right hand middle finger looks wrong,6
The strange things on the girls dress,"1,5"
Text on t shirt,0
Right hand has too few fingers ,"3,6"
"Fingers and gloves are shot, too smooth lightning and skin.","3,4"
"Odd perspective of the bench, contour of the shirt, leaves are blurred.","4,10"
"Contour of arm indicates different lighning, colors are different in the background and foreground.","4,10"
"Fingers are wrong, eyes are not aligned and look odd, hand on shoulder. The longer you look, the worse it gets...","2,6"
Feels odd,0
"Loading times are too long for 5 seconds, maybe start the timer at onload()?",0
Logos and text messed up,5
"I am pretty familiar with the Star Wars movies, so preceding knowledge is the key here. And the man's hair doesn't fit the estimated head shape (too high up, proportions are off).","2,6"
"Too smooth, text wrong",5
"The hands' proportions are wrong, they seem too big for the rest of the body.",3
belt buckle is wrong,0
"sidewalk is silly tiled, backwindow of the passing car, Buttons on the coat are misalingned","1,4"
2 different buttons on the jacket. a sign hanging in a young tree and the grill of the car at the lantern are off,"2,8"
"awnings are completly crooked, street cant decide whether its a sidewalk or a road...","8,9"
Mirrorbar and skull are melting in the sun...,"3,9"
asymetrik chairs weird books,0
JH,0
whats wrong with the kids legs and the grass is super even,"3,4"
4 fingers,3
"Circles behind are inaccurate.
","4,9"
"finger
","3,9"
weird stuff on nightstand,0
"different lamps on the left, smudgy area in bookshelf","4,10"
collar ,0
different logos on caps,8
weird shoes,0
"wrong running direction, weird shoes","3,8"
Mirror in helmet does not seem to fit the scene,8
Tennisschläger,0
"Shops, Bag",0
"wird shadows, possibly missing dogleg","4,9"
"melted fingers, unnatural mouth, inconsistent focus on the ""table"" in the background","3,6"
Thumb should go under the handle,"6,9"
pizza slice intersects the fingers,"3,9"
City background looks too generic,8
Pixel structure different in fore- vs background.,"1,4"
The man's arm ,0
"The image seemed very ""smoothed""",5
Confusing Text,0
"Quite generic faces, simplistic background","1,8"
Muktiple clear mistakes,0
The Hair,0
bad proportion hand size and fingers of the girl. Her hand palm is too big; even compared to her other hand. ,"2,6"
too cartoony-looking and saturated. Child's skin and hair look too good,"2,5"
face and area around hair looks not natural,"2,4"
I think this one is a real.,0
do not see the reason why this could not be a real image.,0
Mirror-y style bugs in the wheels and glass windows.,"1,4"
"too cartoony-looking, bad proportion of the shoes; dog's legs look weird as well","2,6"
BECAUSE THE BACKGROUND DOESN'T LOOK REAL TO ME ,"4,8"
too cartoony looking,7
BECAUSE YOU CAN TAKE A PICTURE BY MISTAKE AND MAKE IT LOOK LIKE ,0
weird fingers and pizza-holding technique,"3,9"
weird reflection of the light in their glasses,4
really really weird hands ,"3,6"
bad quality,1
too big hands for a girl her size,"3,6"
The Apple icon doesn't look right,5
Lighting and shape of the bear's head look off.,4
The size of the hands seemed to be disproportionate. ,3
Veins on the legs look fake.,6
"it's too symmetrical
",7
"Nametag left person.
",0
Distorted thumb,"3,9"
unsure as why just looks it ,0
chello to heavy to holg this way,"3,9"
"the feet look weird
","3,9"
"man wearing watch
",0
se ve su torso como torcido y su cara tiene rasgos muy artificiales,"2,6"
"Reflection in eyes looks add, especially given sun coming from left side of pic","4,8"
su manzana de adán esta chueca,"6,9"
sus sonrisas se ven bien,0
se ve artificial,0
como que tiene 5 palitos para el puerto de carga,"3,9"
todo se ve normal,0
its ai,0
su pata se ve rara,0
su camisa se ve no se,0
su mano se ve rara,6
por los razgos faciales no se ven  como de una persona,"2,6"
mucha iluminacion,4
se ve dos rebanadqs de pizza,0
su iluminación es muy artificial,"4,5"
se ve que su brazo esta editado,"5,9"
la manzana,0
a donde van los brazos,"2,6"
sus lentes,0
porque se ve muy falso,0
sale una mano de un lugar desconocido,"6,9"
la cabellera no se ve natural,6
no esta la camara con la que fue tomada la foto,0
de donde saca la rebanada,0
sus tonos de piel,0
It just looks too shiny to look real.,5
aparece en tiktok,0
The mans shoes are going through the dogs legs and they look like its broken,"3,9"
se alarga mucho el brazo,"3,9"
se ve que es creado por IA porque se ve falso.,5
su manga,0
se ve q es falsa,0
way too realistic,0
se ve un poco más real,0
el foco,0
To clean,0
que bluetooth es ese,0
se ve real,0
Black and white,0
las letras,0
su nariz se ve falsa,"2,6"
los hilos de la bufanda,0
las marcas,0
su oreja,6
"weird arrangement on things on the night table, close to the lamp, distortion in the background","4,8"
la mujer,0
el cierre,0
"faces do look unreal, weird teeth, strange mixture between blurry background and very sharply detailed objects like the lamp on the table in the middle","2,5,4"
"strange anatomy of the arms, it looks like that the right hand has more than 5 fingers, multiple fingers stacked on top of each other. unnatural position of the piece of pizza for the given posture.","3,6"
Skin looks a little perfect ,5
weceefc,0
The logo on the guy's shirt looked wonky,5
The hands ,"3,9"
"this is because his eyes are too small
",2
hands are messed up,3
"The hands, the top of the instrument.","3,9"
"The hands are a dead giveaway but the face is exaggerated too, like a subtle charachature. ","2,6"
The text is messed up,0
The earing is attached in a weird spot.,6
"Because In the area where the water is poured, It floated on the left side of the man's sleeve.",9
I think this was flashed to me before. I guessed real and got it wrong. ,0
The guy's ear looks off,6
The stethoscope ,0
Some areas of the image appear too distorted.,"3,6"
This picture is like the time I took a picture of a friend during a sports day,0
stairs are wrong,9
Proportions are off,"2,6"
The proportions are once again off and the pose looks somewhat squished together.,"2,6"
"details around corners of eyes, lips look off, hair cuts off abruptly in some places","2,6"
I took the photo,0
fingers looked weird,"3,6"
right arm shirt sleeve is just hanging down.,"3,9"
they lookin WEIRD,7
Legs look off,"3,9"
Looks like the hands blur together.,"3,9"
Pizza looks off,0
"Sizes of truck, person, and house are off.","3,9"
Extra finger,3
angle of hand holding phone seems off,"3,9"
Pizza looks off,0
"If its not AI, than its staged photography that is also fake","5,8"
The bag's handle isnt attached to anything,"3,9"
The tennis racket placement feels off.,0
bag seems to have too many zippers,0
i missed it :(,0
was disrupted and had no time to look and decide,0
noncommon dna mutations shown,"6,9"
The fingers ,0
The cutlery ,0
The iv ,0
teeth are giveaway,6
"The woman's fingers look off, especially the tip of the middle finger and the index finger's fingernail. Also, there's an odd skin-colored mark floating near the woman's chin.","3,6"
"The dog has no visible back left leg, despite one being visible in its shadow.","3,9"
"The central person's legs don't seem to align with their shorts. Also, the back right window's pattern changes on the outer ring.","3,4"
the picture in the background shows king charles which was not in charge the time obama was the pressident,8
The buttons on the jacket look suspiciousl,"1,5"
Wrong distortion ,"3,9"
Hands are not correct,3
His fingers on his hand,"3,6"
MG22,0
The link hand,"6,9"
Looks like the image was edited.,5
Boy's left hand,"3,6"
Person on the right hand warped,"3,9"
Weird hands/baby feet,"3,6"
The hair lacks detail and the left arm looks weirdly shaped,"1,3"
Not enough time to inspect image,0
"Toddlers arm to long around the man's neck. Asian's womans hands folding awkwardly. Her Fingers are too many. Man in center photo, his hands are disfigured. Woman on far, left skin color to dark on hand.","3,6"
Artefacts at the boy's ears and the left girl's feet.,"1,6"
Fingers!! ,6
"The ""texture"" in details, especially in the pepperoni / basil and on their faces, looks similar to textures I've seen in AI images.","5,7"
proportion,"2,6"
looks enhanced,5
Q,0
Q,0
Q,0
Q,0
Right hand seems weird,"3,6"
It’s literally a cartoon,5
the arms??,"3,6"
Proportions are strange,"2,6"
The man has three hands,3
Letters on whiteboard,0
parts of the roof look digitally altered. ,5
lighting and shadow seem off. ,4
shadow direction non consistent,4
Boys fingers left hand,"3,6"
child position looks off.,"2,7"
"looks real, no motivation to fake",0
"lacks texture and details, looks AI generated. ",5
Two cops are the same man. ,6
The tattooed man isn't looking at the dog,7
The skin and texture are too flawless ,5
fake I think,0
Real egbvbklnbvcddffzaeefcvbhujjjhhjjjjvdsr,0
Yfg,0
Ajshhhhhxhxhxhzzhzhidxv,0
Yg,0
From the eyes,0
"69
",0
Se ve irreal,0
FGSDFGDSFGSDGSDFGS,0
Es real,0
Se ve irreal,0
se ve irreal,0
el hombre no se ve natural,7
se ve artificial,0
The whiskers on the dog looks unreal. ,"2,5"
Accessories make no sense,8
"Thumb, belt buckle",0
Boy's hand. Girl on left missing arm. Faces are too bright and in focus compared to background.  ,"3,7"
"Perspective is off, body is uneven","3,9"
Its too clean,0
ja,0
Handkerchief ,0
Thumb Obama,0
"Her face
",0
"pizza slice
",0
The hands are wrong - shade and placement. Shoes aren't rendered properly. Hair is uneven in an unnatural way. Extra 'bits' around ear of white child. Weird shadows behind knee of child on the right. Weird black marks behind mother and father figures - near feet.,"1,4,5"
The edging of the outfit is strange - not sharp. The proportions seem slightly off.,"1,7"
The fingers are wrong and the edges are too smooth.,"2,5"
Uncanny valley?,7
There's an odd gap between the head and hair which could just be shadow. Her hand seems to disappear.,"2,9"
The mouth is weird.,"2,6"
Finger!,9
The mop isn't in the right place.,9
Melty fingers and giant hands.,"3,9"
Hair at temple. Right knuckle,"6,9"
hair seems fake,5
because the glasses are weird,6
dk,0
Bad Graphic,5
Her right hand and the stiletto heel of the right shoe,"3,9"
The kids' legs seem to be mis-shapen,3
to good,0
the table corner there is blurring like the image of the woman was placed there,5
"Fingers
Board","3,9"
"the dogs head next to the mans face looks to be photoshopped, ",5
shoes too shiny  ,"1,4"
Sooooo fake,0
"hand on shoulder of kid, kid on right different colorings
","3,6"
Odd knuckles and joings,"3,6"
tooth shadow,"1,4"
weird,0
Racquet strings are munted.,9
Middle child's hand is munted.,"3,6"
fingers are not real,"3,6"
nonsense on board,0
cartoon bruh,5
cartooony,5
"itsnatural
",0
because its art,"1,5"
coold brevc because ,0
"looks fake
",0
"it looks natural
",0
The outfit looks too clean,8
Lighting looks off,4
Skin too smooth of the man on the left,6
Lighting looks inconsistent on the man vs the rest of the family,4
fake hair and smile ,5
there are no people,0
there aren't people in the bus,8
the colors,0
Hand messed up,"3,9"
Hands messed up,3
Coffee cup with helmet,0
The background looks like it doesn't match the person,8
It seems too perfect,5
It looks cold,0
something about her face looks off,7
It looks like it's trying to hard to portray a sense of diversity in both the subject and the background.,8
"This could be a human edited image, but it seems to be ai generated. There are weird artifacts throughout the image. ",5
Seems to be a mashup of lots of different image sources.,0
The fingers are a give away ,6
Seems off from regular animated photos. Eys look off. ,"2,7"
The chin strap doesn't look real.,6
Hands on woman on the left and man holding drink are implausible.,"3,9"
Her right forearm looks weird,3
"Overly blurry, and yet over sharp


","1,4"
AI shows fake elaborate hairstyles so the gold curl is a clue. The collar of the shirt is odd and the lanyard's drape defies physics.,"1,4,9"
Hand under the book is weird. Drape of flag doesn't make sense. Knot of tie is off.,"3,8"
Human anatomy does not line up with images of people (legs are out of place),"2,6"
Too many fingers ,3
Fingers on her left hand,"3,6"
I would guess based on the colors of the suit on the man's left shoulder.,0
Based on the seeming deformities in the hands/wrists and they are sitting so calmly in a seated position that looks hard let alone for kids to synchronize on.,"3,9"
"Her right arm stuck out some, which just seemed like a man's arm, though doesn't have to be. Her left hand sticks out as potentially having 2 joined fingers and the ring finger seems discolored.","2,6"
"Double stethoscope, The way the hands are shaded and positioned","6,7"
"Collar of the jacket, flatness of the top of the head, background blurring is common in Ai","1,6"
"fingers on hand, strange image on the bottom of the pizza, no one holds pizza like that","3,8"
"tennis racket strings merge into nothing, clothing very smooth, neck is longer or thicker than expected, eyes seem offset, ears are different heights","3,5,6"
Too perfect of a face,7
"human retinas are different sizes, depth of field is inconsistent from edge of hat, hairs by ears which should exist in the same plane, but have differing sharpness. This couldn't be done with a camera. ","3,4,9"
shadow enhances difference in ear shape,"1,4"
Kid's fingers are weird,"3,6"
equipment on chest seems confused as to what are edges and what are flat planes. The backpack red zipper or stripe seems to be unsure if it is decoration or a zipper. The canvas or denim grain has waves in the strap and the pattern seems to distort around space vs bending like fabric would. Wearing a scarf inside a space suit just doesn't make sense. the arm on the right of the picture seems like its trying to make an american flag but it isn't sure.,"2,4,6"
how to do make the submit/next buttons work? perhaps I am required to slide the confidence bar instead of clicking to activate it in my target region.... bad UX,0
"Shirt knot: hanging flap incongruent with button-down style, possibly real",8
that was not one second,0
That may have been five seconds....  Looks familiar but I probably did not see it as a still rather on a tv show,0
colour of subjects vs backdrop -- maybe faked in a studio but something was unreal,"5,8"
ball in the nest (?) is floating. subject is just weird overall,"3,7"
womans wrist,"6,9"
Background seems out of place. An extra part of a finger underneath the rabbit’s left leg doesn’t seem to be part of soldier’s right hand.,"3,8"
Too many hands,3
The fingers and hand placement,"3,6"
The head piece looks to be added over another image,"5,8"
"The way the hat sits on her head, the way her hands are holding the bucket and handle of the broom/mop","6,8"
"The people look to have been placed on top of another picture, the shadowing appears off ","5,4"
"The stance of her body, the bag at her hip not being held by a hand, the hand in front of her not actually holding the bag","3,9"
",",0
Asymmetrical ,6
Hands seem weird,3
The people have crisp outlines around bodies and seem to be I a different focus than all the other items in the photo ,"1,4"
there is no chairs behind kids,8
looks so natural,0
there is shadow of man,4
hair is somehow unnatural,6
Looks to perfect ,5
the image  quality of this video is very high and smooth hence it is ai ganerated image,"1,5"
the image quality really high ,1
"it just looks so real and soo authentic that we can clearly see it is an real image
",10
98,0
"again the eyesight of the people does not match the image placement and is an ai generated image 
","2,5"
"the elderly woman dosen't have wrinkles 
",6
the hair on the boys head seems to be very saturated and the whiteness of the boy sitting in front of his mother,5
itss soo fake it can be clearly seen in the womans eyes,7
fingers look kinda weird,"3,6"
Some faces are deformed ,"2,6"
Strange lines in collar + the way the shoes touch the ground (w/ a glitch),"1,4"
seems too hyper-realistic to me,7
Las manos,0
Los pies no son reales,"3,6"
vd,0
Very black man is sitting in KFC and eating 9 KFC baskets,8
There are winkles under her eyes. Hard to see in AI,6
Funky fingers,"3,6"
the picture is very good quality ,1
br(,0
the shirt,0
the lab coat,0
the colour,0
bag material,0
lab coat,0
look at the board in the back,0
clothes not wet nothing wet its a baby in the ocean for fuck,9
poo,0
Pink Floyd reference,0
"white mother none lightskin all darkskin
",8
 .,0
 .,0
mirror,0
wire,9
students hand,9
whiteboard is weird and her face looks not great,"1,2"
The woman on the right has traces of a glasses on her left eye. The highlight on the background does not fit well to the overall light,"1,4"
"This is a 50:50 chance. It could as well be drawn by a human. There are strange structures in the face, but that could as well be the painters style. 
","2,7"
There is a mismatch in the bench,8
Either fake or alien. Look at her hands,"6,9"
There are a couple of strange artefacts and the way they hold hands - but the image quality is too low to be sure,"1,6"
left thumb + position of microfone in hand,"6,8"
dog's collar,0
'melted' hands,"3,9"
strange position of feet,"3,9"
glitches on silhouette and left half of the face,"1,7"
position of laptop on the floor (as opposed to a pizza carton) and pizza piece at the center,8
racket's strings + missing button holes,"3,9"
feet + proportions,"3,6"
hands and contrasts,"3,4"
rendering of teeth + very different eyes,"2,6"
color details + left hand,0
hands + table + no button holes,"3,8"
books + hands + eyelines,"3,6"
details on uniform,0
rendering of hair and left shoulder,"1,4"
The tie is blurry and the stripes seem pixelated in some places.  ,"1,5"
Second indentation on the door has an unusual overhang. ,"3,9"
"Chin lines, face edges and shadow of the head","2,4"
Deformed hands. Blurry shirt. ,"3,1"
"Cheek on the left looks wrong, the face is too smooth and the lens bouceh is slightly different in each place.","2,5"
Woman’s bent knee is missing. ,"3,9"
"Hand is blurry and skin on the back of the hand is too smooth?  But reflection in glasses looks real, so not sure.","1,9"
Arm and hand at weird angle,"3,9"
"filters used. foreground v background ""wrong""
","5,8"
bag is wrong,0
Presenter’s hand,"6,9"
Extra hand,3
 I handle on the bag,0
"her right eye is squinted
","2,6"
writing bad,0
tennis racket looks odd,"1,8"
bunny???,0
Too many stripes on the flag,8
unrealistic perfect skin,"2,6"
Her head looks disproportioned,2
I have no clue,0
The blotchy tattoo. The reflection on the window and the image on the laptop screen.  ,"5,4"
The fingers on her pointing hand.,"3,6"
The girl in the middle is holing a hand of a person that is not there. ,"3,8"
She is missing an arm,3
i think it real because there nothing fake thta there can be ,0
it ersal,0
Buttons on their jacket sleeves. Gentlemen's watch.  Middle woman's fingers and right women's hair.,"6,10"
The shadow does not match.  ,4
The boy does not fit in.,"7,8"
Her left fore arm seems to be disproportionate.,3
His hand don't look right,"3,6"
Disproportionate head to body/hat and animated scene,"2,7"
The hands ,"3,9"
Woman's hands appear to unnaturally blend in to the children's clothing.,"3,6"
The lighting is inconsistent across the children's faces and bodies.,4
Unrealistic distortions of the curtain behind the man's left arm,"1,4"
The hands are not correct.,"3,6"
Close up seem to be fake,0
There's a subtle halo effect around the man's head.,"1,4"
no bench,8
"Incorrect angles on chairs, incorrect shapes of letters",0
Fingers are mangled,"3,9"
The handle dose not line up,0
Multiple planes of focus,0
The women in the grey jackets hands don't look right.  Both women appear to be added to the photo.  ,"2,6"
color,0
There is brightness in the face that is unnatural. It looks at least heavily modified,5
Tie appears to be doctored.,5
Hands are wrong.  ,"3,6"
hands shirts and ears,"3,6"
"hands, ears, hair and shirts","3,6"
Too many fingers on the hands and they are not natural looking (too long and misshapen).,"3,6"
The fingers are weir ,"3,6"
Blurriness of items in the background. Neck looks out of line. ,"1,6"
Hands are wrong,3
Left foot is missing/in an awkward position.,"3,9"
Hands are wrong,"3,6"
It’s a hot mess,0
Hands and fingers are wrong,"3,6"
"I'm colorblind, but the person looks to be in a different lighting and exposure from the surroundings.",4
Something wrong with the shirt/arms.,"3,9"
Something wrong with hands and mouth/face,"3,6"
Suit looks too sharp but bride looks real,"1,10"
Finger through shirt,"3,9"
Proportion of head to shoulders.  Can't figure out h and position. Coffee cup lid looks off.,"2,6"
Hands are a mess,3
her hand looks weird.,3
her skin is to smooth.,5
Look at the mf fingers,6
Colors - and too perfect,5
Funky hands,"3,9"
Unnatural hair by her eye,6
Hair on cheeks,3
Goggles don’t seem to match the uniform ,8
"backgound, hands, clothing",0
eyes and ears distorted,"2,6"
"background is appropriate, not directly looking at viewer",0
"legible lettering on clothes, not directly staring at viewer",0
image still from video of astronauts pizza night on ISS,0
"hands, ears, reflection in eyeglasses","3,6"
"rabbit legs, soldier hands and patches, background","3,6,8"
"hands, clothing, body positions, background","3,8"
"hands, illegible writing and lettering","3,8"
"hands, watch, eyes, background","3,4"
The details are a bit off,0
shirt and ears,"2,6"
Sunglasses ,0
Earrings ,0
hand bag eyes shows,0
"ears eyes, hands, background, bag","2,3"
ears hands clothing,"3,6"
The kid ,0
"nose, ears, feet, eyes, hair, strange objects, background","2,6"
"eyes, noses, strange artifacts on dog collar and clothing","2,6"
"eyes, clothing, ears, strange focus depth","2,6"
similar to another fake image,0
"eyes, clothing, earrings","2,6"
"hands, clothing, instruments around neck, people in background","3,8"
